Group,Stat,Type,Value
"('PsrP', 'Manual + COGsoft', 'within')",IQR,Length,0.0010699764605178672
"('PsrP', 'Prokka + Panaroo', 'end')",IQR,Length,0.0
"('PsrP', 'Prokka + Panaroo', 'start')",IQR,Length,0.08900304414003045
"('PsrP', 'Prokka + Panaroo', 'within')",IQR,Length,0.07646118721461193
"('PsrP', 'ggCaller', 'end')",IQR,Length,0.0
"('PsrP', 'ggCaller', 'start')",IQR,Length,0.0
"('PsrP', 'ggCaller', 'within')",IQR,Length,0.014455184534270638
"('Pbp1a', 'Manual + COGsoft')",Mode,AAI,0.9972260748959778
"('Pbp1a', 'Prokka + Panaroo')",Mode,AAI,0.9972222222222222
"('Pbp1a', 'ggCaller')",Mode,AAI,0.9972260748959778
"('Pbp2b', 'Manual + COGsoft')",Mode,AAI,0.9941434846266471
"('Pbp2b', 'Prokka + Panaroo')",Mode,AAI,0.9941348973607038
"('Pbp2b', 'ggCaller')",Mode,AAI,0.9941434846266471
"('PspA', 'Manual + COGsoft')",Mode,AAI,1.0
"('PspA', 'Prokka + Panaroo')",Mode,AAI,1.0
"('PspA', 'ggCaller')",Mode,AAI,1.0
"('PsrP', 'Manual + COGsoft')",Mode,AAI,1.0
"('PsrP', 'Prokka + Panaroo')",Mode,AAI,1.0
"('PsrP', 'ggCaller')",Mode,AAI,1.0
"('Pbp1a', 'Manual + COGsoft', 'end')",Mode,Length,0.0
"('Pbp1a', 'Manual + COGsoft', 'start')",Mode,Length,0.0
"('Pbp1a', 'Manual + COGsoft', 'within')",Mode,Length,0.0
"('Pbp1a', 'Prokka + Panaroo', 'end')",Mode,Length,0.0
"('Pbp1a', 'Prokka + Panaroo', 'start')",Mode,Length,0.0
"('Pbp1a', 'Prokka + Panaroo', 'within')",Mode,Length,0.0
"('Pbp1a', 'ggCaller', 'end')",Mode,Length,0.0
"('Pbp1a', 'ggCaller', 'start')",Mode,Length,0.0
"('Pbp1a', 'ggCaller', 'within')",Mode,Length,0.0
"('Pbp2b', 'Manual + COGsoft', 'end')",Mode,Length,0.0
"('Pbp2b', 'Manual + COGsoft', 'start')",Mode,Length,0.0
"('Pbp2b', 'Manual + COGsoft', 'within')",Mode,Length,0.0
"('Pbp2b', 'Prokka + Panaroo', 'end')",Mode,Length,0.0
"('Pbp2b', 'Prokka + Panaroo', 'start')",Mode,Length,0.0
"('Pbp2b', 'Prokka + Panaroo', 'within')",Mode,Length,0.0
"('Pbp2b', 'ggCaller', 'end')",Mode,Length,0.0
"('Pbp2b', 'ggCaller', 'start')",Mode,Length,0.0
"('Pbp2b', 'ggCaller', 'within')",Mode,Length,0.0
"('PspA', 'Manual + COGsoft', 'end')",Mode,Length,0.0
"('PspA', 'Manual + COGsoft', 'start')",Mode,Length,0.0
"('PspA', 'Manual + COGsoft', 'within')",Mode,Length,0.30795610425240055
"('PspA', 'Prokka + Panaroo', 'end')",Mode,Length,0.0
"('PspA', 'Prokka + Panaroo', 'start')",Mode,Length,0.0
"('PspA', 'Prokka + Panaroo', 'within')",Mode,Length,[-0.2084453   0.01074856]
"('PspA', 'ggCaller', 'end')",Mode,Length,0.0
"('PspA', 'ggCaller', 'start')",Mode,Length,0.0
"('PspA', 'ggCaller', 'within')",Mode,Length,-0.232719836400818
"('PsrP', 'Manual + COGsoft', 'end')",Mode,Length,-0.8187459875882731
"('PsrP', 'Manual + COGsoft', 'start')",Mode,Length,0.0021399529210357373
"('PsrP', 'Manual + COGsoft', 'within')",Mode,Length,0.04429702546543976
"('PsrP', 'Prokka + Panaroo', 'end')",Mode,Length,0.00030441400304414006
"('PsrP', 'Prokka + Panaroo', 'start')",Mode,Length,-0.00426179604261796
"('PsrP', 'Prokka + Panaroo', 'within')",Mode,Length,[0.59649924 0.6260274  0.64063927]
"('PsrP', 'ggCaller', 'end')",Mode,Length,0.0
"('PsrP', 'ggCaller', 'start')",Mode,Length,0.0
"('PsrP', 'ggCaller', 'within')",Mode,Length,0.437609841827768
